count	callee	no_raw	defs	def
871	xfree	0	1	crates/nvim/src/memory/mod.rs
739	.add	0	3	
454	.offset	0	0	
452	bytes_at	0	1	crates/nvim/src/cstr.rs
399	c_str	0	1	crates/nvim/src/message_fmt/mod.rs
282	CStr::from_ptr	0	2	
238	.offset_from	0	0	
228	at	0	3	
186	xstrdup	0	1	crates/nvim/src/memory/mod.rs
171	.as_ref	0	0	
171	dispatch	0	1	crates/nvim/src/lua/api_wrappers/mod.rs
164	xmalloc	0	1	crates/nvim/src/memory/mod.rs
153	from_raw_parts	0	0	
132	skipwhite	0	1	crates/nvim/src/charset/walk.rs
121	utf_ptr2char	0	1	crates/nvim/src/mbyte/utf8/mod.rs
121	utfc_ptr2len	0	1	crates/nvim/src/mbyte/utf8/mod.rs
109	vim_snprintf	0	1	crates/nvim/src/strings/printf/mod.rs
101	snprintf	0	1	crates/nvim/src/os/cshim.rs
98	cstr_to_string	0	1	crates/nvim/src/api/private/helpers/text.rs
86	nlua_pop_string	0	1	crates/nvim/src/lua/converter/pop.rs
84	xstrlcpy	0	1	crates/nvim/src/memory/mod.rs
83	zeroed	0	0	
81	starts_with	0	2	
79	nlua_pop_handle	0	1	crates/nvim/src/lua/converter/pop.rs
76	apply_autocmds	0	1	crates/nvim/src/autocmd/fire.rs
69	prefix_eq	0	1	crates/nvim/src/cstr.rs
67	from_raw_parts_mut	0	0	
62	nlua_pop_integer	0	1	crates/nvim/src/lua/converter/pop.rs
62	xmemdupz	0	1	crates/nvim/src/memory/mod.rs
57	set_vim_var_string	0	1	crates/nvim/src/eval/vars/vvar.rs
56	Live::new	0	1	crates/nvim/src/winlayer/live.rs
55	strequal	0	1	crates/nvim/src/memory/mod.rs
54	vim_strchr	0	1	crates/nvim/src/strings/mod.rs
53	copy	0	1	crates/nvim/src/strings/printf/emit.rs
52	abort	0	0	
52	utf_char2bytes	0	1	crates/nvim/src/mbyte/utf8/mod.rs
51	vim_regfree	0	1	crates/nvim/src/regexp/api.rs
50	Xp::new	0	68	
50	msg_ext_set_kind	0	1	crates/nvim/src/message/ext.rs
49	eq	0	1	crates/nvim/src/cstr.rs
47	.sub	0	0	
46	copy_nonoverlapping	0	0	
46	do_cmdline_cmd	0	1	crates/nvim/src/ex_docmd/cmdline.rs
46	xstrnsave	0	1	crates/nvim/src/strings/mod.rs
45	fprintf	0	0	
44	pop_keydict	0	1	crates/nvim/src/lua/api_wrappers/mod.rs
42	key_bytes	0	1	crates/nvim/src/api/private/dispatch/mod.rs
42	utf_head_off	0	1	crates/nvim/src/mbyte/walk.rs
40	copy_option_part	0	1	crates/nvim/src/option/query.rs
40	strcpy	0	0	
39	Tv::new	0	68	
39	emsg_ptr	0	1	crates/nvim/src/message/errors.rs
39	tv_copy	0	0	
38	shada_free_shada_entry	0	1	crates/nvim/src/shada/read.rs
37	vim_regcomp	0	1	crates/nvim/src/regexp/api.rs
36	ml_get_buf	0	1	crates/nvim/src/memline/lines.rs
35	fclose	0	0	
35	ga_init	0	1	crates/nvim/src/garray.rs
35	xcalloc	0	1	crates/nvim/src/memory/mod.rs
34	Qi::new	0	68	
33	os_isdir	0	1	crates/nvim/src/os/fs/mod.rs
33	undo_write_bytes	0	1	crates/nvim/src/undo/file.rs
33	vim_regexec	0	1	crates/nvim/src/regexp/api.rs
33	xstrlcat	0	1	crates/nvim/src/memory/mod.rs
32	Box::from_raw	0	9	
32	getdigits_int	0	1	crates/nvim/src/charset/walk.rs
32	os_path_exists	0	1	crates/nvim/src/os/fs/dir.rs
32	ptr2cells	0	1	crates/nvim/src/charset/display.rs
31	.copy_from_nonoverlapping	0	0	
31	f	0	0	
31	from	0	0	
31	ga_grow	0	1	crates/nvim/src/garray.rs
30	Term::new	0	1	crates/nvim/src/terminal/mod.rs
30	eq_bytes	0	1	crates/nvim/src/cstr.rs
29	.as_mut	0	0	
29	ml_replace	0	1	crates/nvim/src/memline/lines.rs
29	multiqueue_put_event	0	1	crates/nvim/src/event/multiqueue.rs
29	os_fileinfo	0	1	crates/nvim/src/os/fs/meta.rs
28	os_fopen	0	1	crates/nvim/src/os/fs/mod.rs
28	vim_strsize	0	1	crates/nvim/src/charset/display.rs
27	Frame::read	0	1	crates/nvim/src/option/didset.rs
27	add_nr	0	2	
27	grid_line_puts	0	1	crates/nvim/src/grid/line.rs
27	os_remove	0	0	
27	vim_snprintf_safelen	0	1	crates/nvim/src/strings/printf/mod.rs
26	Node::new	0	1	crates/nvim/src/marktree/node.rs
26	nlua_pop_boolean	0	1	crates/nvim/src/lua/converter/pop.rs
